outcome,outcome_label,cohort,window,n_treated_states,n_control_states,treated_change,control_change,att
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2023,5,3,21,-0.6027086341752916,-0.45475741457042673,-0.1479512196048649
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2024,2,2,21,-0.18444483604591788,-0.5525852142762524,0.3681403782303345
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2024,3,2,21,-0.05746673585311779,-0.48334280452511535,0.42587606867199757
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2024,5,2,21,-0.23279971944379874,-0.5480208306484888,0.3152211112046901
total_suicide_rate_per_100k,Total Suicide,2003,2,1,21,3.069998401715747,0.08624570245584806,2.983752699259899
total_suicide_rate_per_100k,Total Suicide,2003,3,1,21,1.3097723980986729,0.1397822095893826,1.1699901885092903
total_suicide_rate_per_100k,Total Suicide,2003,5,1,21,2.457251926521238,0.27052113654167087,2.186730789979567
total_suicide_rate_per_100k,Total Suicide,2010,2,1,21,1.3931102094613763,0.5977449327594968,0.7953652767018795
total_suicide_rate_per_100k,Total Suicide,2010,3,1,21,1.3457563342019938,0.9018073815034722,0.44394895269852164
total_suicide_rate_per_100k,Total Suicide,2010,5,1,21,1.5333701707453784,1.4629641191000609,0.07040605164531755
total_suicide_rate_per_100k,Total Suicide,2011,2,1,21,4.825784303447801,0.38007486920237277,4.445709434245428
total_suicide_rate_per_100k,Total Suicide,2011,3,1,21,3.084759666892481,0.6235402139362911,2.4612194529561897
total_suicide_rate_per_100k,Total Suicide,2011,5,1,21,3.101403084071947,1.3235443376179745,1.7778587464539726
total_suicide_rate_per_100k,Total Suicide,2015,2,2,21,0.9086908208699,0.4712207287157586,0.43747009215414145
total_suicide_rate_per_100k,Total Suicide,2015,3,2,21,1.6613797839408946,0.7799981414032633,0.8813816425376313
total_suicide_rate_per_100k,Total Suicide,2015,5,2,21,2.8454280905045586,1.1573595669569912,1.6880685235475674
total_suicide_rate_per_100k,Total Suicide,2016,2,2,21,1.4715182311590134,0.4270437453632461,1.0444744857957673
total_suicide_rate_per_100k,Total Suicide,2016,3,2,21,2.484222185814989,0.7332759401095235,1.7509462457054656
total_suicide_rate_per_100k,Total Suicide,2016,5,2,21,2.571389402767071,0.9056134920757586,1.6657759106913126
total_suicide_rate_per_100k,Total Suicide,2017,2,3,21,2.1226704417196807,0.6175737584430188,1.505096683276662
total_suicide_rate_per_100k,Total Suicide,2017,3,3,21,1.5604981583203426,0.6740454346724913,0.8864527236478512
total_suicide_rate_per_100k,Total Suicide,2017,5,3,21,1.9625461418987058,0.7637546985166495,1.1987914433820563
total_suicide_rate_per_100k,Total Suicide,2019,2,3,21,0.47440679677710307,-0.42334259891684134,0.8977493956939444
total_suicide_rate_per_100k,Total Suicide,2019,3,3,21,0.9684190276868527,-0.12666075641421592,1.0950797841010687
total_suicide_rate_per_100k,Total Suicide,2019,5,3,21,1.3147991730328528,0.2665927598295106,1.0482064132033422
total_suicide_rate_per_100k,Total Suicide,2021,2,5,21,0.951788336488427,0.48414446245129206,0.4676438740371349
total_suicide_rate_per_100k,Total Suicide,2021,3,5,21,0.9055878576222725,0.3231655848834478,0.5824222727388246
total_suicide_rate_per_100k,Total Suicide,2021,5,5,21,0.8372472267679605,0.21833159852634765,0.6189156282416128
total_suicide_rate_per_100k,Total Suicide,2022,2,3,21,0.7823347684869848,0.6020698553796304,0.18026491310735437
total_suicide_rate_per_100k,Total Suicide,2022,3,3,21,0.8268295160579111,0.27900092633835705,0.5478285897195541
total_suicide_rate_per_100k,Total Suicide,2022,5,3,21,0.7011970291950238,0.14747604571433648,0.5537209834806873
total_suicide_rate_per_100k,Total Suicide,2023,2,3,21,0.009334619489248297,-0.2661963433246797,0.27553096281392797
