outcome,outcome_label,specification,coef_post_permitless,se_post_permitless,p_post_permitless,nobs,r2,interpretation_flag,excluded_state
total_suicide_rate_per_100k,Total Suicide,leave_one_adopter_out,1.5746837666279627,0.33078469211198097,1.9316242486996464e-06,1274.0,0.9342916059860095,positive_p05,New Hampshire
total_suicide_rate_per_100k,Total Suicide,leave_one_adopter_out,1.5483502483329703,0.33275578317589216,3.2696100711858363e-06,1274.0,0.9336715597516826,positive_p05,North Dakota
total_suicide_rate_per_100k,Total Suicide,leave_one_adopter_out,1.59696584160407,0.3206627908538649,6.351756151446325e-07,1274.0,0.9327953464806578,positive_p05,Ohio
total_suicide_rate_per_100k,Total Suicide,leave_one_adopter_out,1.54592584296995,0.3220672212679805,1.5865780585913143e-06,1274.0,0.9326143200565039,positive_p05,Oklahoma
total_suicide_rate_per_100k,Total Suicide,leave_one_adopter_out,1.5833553378427792,0.31990544074057686,7.442426534855907e-07,1274.0,0.9328094666757341,positive_p05,South Carolina
total_suicide_rate_per_100k,Total Suicide,leave_one_adopter_out,1.5400998483195047,0.3274465008403474,2.5591048453796176e-06,1274.0,0.9333886209936256,positive_p05,South Dakota
total_suicide_rate_per_100k,Total Suicide,leave_one_adopter_out,1.6152638573146305,0.3208240391112767,4.785115845737099e-07,1274.0,0.9331324615858755,positive_p05,Tennessee
total_suicide_rate_per_100k,Total Suicide,leave_one_adopter_out,1.5946888301207733,0.3219402514321894,7.293950523303873e-07,1274.0,0.9325776182745935,positive_p05,Texas
total_suicide_rate_per_100k,Total Suicide,leave_one_adopter_out,1.6367038420868731,0.31538443516971193,2.10800933978398e-07,1274.0,0.9334820263058832,positive_p05,Utah
total_suicide_rate_per_100k,Total Suicide,leave_one_adopter_out,1.5736113904211688,0.33000958138173275,1.85712393960668e-06,1274.0,0.933324796374572,positive_p05,West Virginia
total_suicide_rate_per_100k,Total Suicide,leave_one_adopter_out,1.4200666407578915,0.30008947255611756,2.2216055363566337e-06,1274.0,0.9343636420575894,positive_p05,Wyoming
firearm_homicide_rate_per_100k,Firearm Homicide,leave_one_adopter_out,-0.04570703726894504,0.3716907358092222,0.9021303695106512,1173.0,0.8830398486207984,not_p05,Alabama
firearm_homicide_rate_per_100k,Firearm Homicide,leave_one_adopter_out,-0.11317755717724261,0.3854140482733031,0.7690239333490605,1173.0,0.8939008082209134,not_p05,Alaska
firearm_homicide_rate_per_100k,Firearm Homicide,leave_one_adopter_out,0.11994826826829681,0.34337603386739296,0.7268487526682548,1173.0,0.8939229822766415,not_p05,Arizona
firearm_homicide_rate_per_100k,Firearm Homicide,leave_one_adopter_out,-0.06924252306155168,0.3728210866229377,0.8526597349110874,1173.0,0.8896979147177274,not_p05,Florida
firearm_homicide_rate_per_100k,Firearm Homicide,leave_one_adopter_out,-0.08244528288730504,0.3741588122053134,0.8255998550595778,1173.0,0.8871632290945812,not_p05,Georgia
firearm_homicide_rate_per_100k,Firearm Homicide,leave_one_adopter_out,0.028496273273575373,0.37774332341057515,0.9398660731243986,1173.0,0.8887646048739009,not_p05,Idaho
firearm_homicide_rate_per_100k,Firearm Homicide,leave_one_adopter_out,-0.06600087905381133,0.37419466675629987,0.8599945264624961,1173.0,0.8885053052567138,not_p05,Indiana
firearm_homicide_rate_per_100k,Firearm Homicide,leave_one_adopter_out,-0.04573416103485797,0.37627159251953274,0.9032588892346008,1173.0,0.8865977571580537,not_p05,Iowa
firearm_homicide_rate_per_100k,Firearm Homicide,leave_one_adopter_out,-0.07731146482600448,0.3939570948260922,0.8444196897698264,1173.0,0.889223206334397,not_p05,Kansas
firearm_homicide_rate_per_100k,Firearm Homicide,leave_one_adopter_out,-0.08530530914509249,0.3832073281816294,0.8238400160036523,1173.0,0.88861350953261,not_p05,Kentucky
firearm_homicide_rate_per_100k,Firearm Homicide,leave_one_adopter_out,0.015521883019286059,0.36127042703720363,0.9657296566196096,1173.0,0.8728968518155513,not_p05,Louisiana
firearm_homicide_rate_per_100k,Firearm Homicide,leave_one_adopter_out,0.013329827667419483,0.3770281711234455,0.9717966740840007,1179.0,0.8883233658623368,not_p05,Maine
firearm_homicide_rate_per_100k,Firearm Homicide,leave_one_adopter_out,-0.2579117129873238,0.3317450307668324,0.4368994762387728,1173.0,0.8947672638410352,not_p05,Mississippi
firearm_homicide_rate_per_100k,Firearm Homicide,leave_one_adopter_out,-0.20056385466060742,0.3613700143258918,0.5788880419445869,1173.0,0.8901472999316319,not_p05,Missouri
firearm_homicide_rate_per_100k,Firearm Homicide,leave_one_adopter_out,-0.0634207553587641,0.3773784195194345,0.8665391244561225,1174.0,0.8875184148187334,not_p05,Montana
firearm_homicide_rate_per_100k,Firearm Homicide,leave_one_adopter_out,-0.08989580493171848,0.3720940537974499,0.8090945340716867,1173.0,0.889440420869435,not_p05,Nebraska
