outcome,outcome_label,specification,coef_post_permitless,se_post_permitless,p_post_permitless,nobs,r2,interpretation_flag,placebo_shift
total_suicide_rate_per_100k,Total Suicide,placebo_never_treated,0.051864260194508655,0.3248753275399837,0.8731618476978519,546.0,0.9533524011268365,not_p05,8
total_suicide_rate_per_100k,Total Suicide,placebo_never_treated,-0.26179599313805035,0.342297207761349,0.44437831438613207,546.0,0.9536324457675716,not_p05,9
total_suicide_rate_per_100k,Total Suicide,placebo_never_treated,-0.13684068546295602,0.2778326659059018,0.6223453234879156,546.0,0.953420599764936,not_p05,10
firearm_homicide_rate_per_100k,Firearm Homicide,placebo_never_treated,0.34797593043823066,0.21782481058193973,0.11015348423560661,532.0,0.8582249987426002,not_p05,0
firearm_homicide_rate_per_100k,Firearm Homicide,placebo_never_treated,-0.07505958300103584,0.1739599556056509,0.6661221442429428,532.0,0.8558005413210008,not_p05,1
firearm_homicide_rate_per_100k,Firearm Homicide,placebo_never_treated,-0.11884665603527095,0.19917995048889192,0.5507211714691167,532.0,0.8559697486197059,not_p05,2
firearm_homicide_rate_per_100k,Firearm Homicide,placebo_never_treated,-0.12495412324477256,0.2410813146855703,0.6042441178842533,532.0,0.8560125152512945,not_p05,3
firearm_homicide_rate_per_100k,Firearm Homicide,placebo_never_treated,0.036293897953049534,0.27831466676686806,0.8962452325532606,532.0,0.8557142630888489,not_p05,4
firearm_homicide_rate_per_100k,Firearm Homicide,placebo_never_treated,-0.07996953053716103,0.2946036663904611,0.7860466074234026,532.0,0.855820527791387,not_p05,5
firearm_homicide_rate_per_100k,Firearm Homicide,placebo_never_treated,-0.19726681202504054,0.2588936097828101,0.44608333130827155,532.0,0.8565061281076705,not_p05,6
firearm_homicide_rate_per_100k,Firearm Homicide,placebo_never_treated,-0.09373144024532604,0.1529888491779851,0.5400955915772926,532.0,0.855867990490091,not_p05,7
firearm_homicide_rate_per_100k,Firearm Homicide,placebo_never_treated,0.08074214090706519,0.23085655858902768,0.7265261324543919,532.0,0.8558190200473912,not_p05,8
firearm_homicide_rate_per_100k,Firearm Homicide,placebo_never_treated,0.11964049214569135,0.3222661631405467,0.7104532323226594,532.0,0.8559807885191103,not_p05,9
firearm_homicide_rate_per_100k,Firearm Homicide,placebo_never_treated,0.10111588859239089,0.3464142610261061,0.7703684562686739,532.0,0.8559005780818796,not_p05,10
total_firearm_rate_per_100k,Total Firearm Deaths,placebo_never_treated,0.31997309159949905,0.2974151234324103,0.28199580377820216,546.0,0.9339261454367507,not_p05,0
total_firearm_rate_per_100k,Total Firearm Deaths,placebo_never_treated,-0.33817688584877237,0.26532804610495564,0.20246452728589198,546.0,0.9339550907159305,not_p05,1
total_firearm_rate_per_100k,Total Firearm Deaths,placebo_never_treated,-0.15520997413488788,0.38396072102262013,0.6860406613990663,546.0,0.9336144562726942,not_p05,2
total_firearm_rate_per_100k,Total Firearm Deaths,placebo_never_treated,-0.00019183182377724428,0.44688700886201654,0.9996574981086346,546.0,0.9335257316617473,not_p05,3
total_firearm_rate_per_100k,Total Firearm Deaths,placebo_never_treated,0.47369605444282314,0.45711895403306213,0.3000788547517864,546.0,0.9344028020141849,not_p05,4
total_firearm_rate_per_100k,Total Firearm Deaths,placebo_never_treated,0.2692647434930157,0.4213252945244234,0.5227644451259864,546.0,0.9338057023008527,not_p05,5
total_firearm_rate_per_100k,Total Firearm Deaths,placebo_never_treated,-0.10278838205432475,0.33315954500562833,0.7576821187554855,546.0,0.933566799573883,not_p05,6
total_firearm_rate_per_100k,Total Firearm Deaths,placebo_never_treated,-0.07035186146602049,0.2509928891859857,0.779251768501596,546.0,0.9335451287629206,not_p05,7
total_firearm_rate_per_100k,Total Firearm Deaths,placebo_never_treated,-0.003596828227165047,0.3909746957393794,0.9926598491893184,546.0,0.9335257822596952,not_p05,8
total_firearm_rate_per_100k,Total Firearm Deaths,placebo_never_treated,-0.17989358313002535,0.5443698218350462,0.7410508411467793,546.0,0.9336532284879865,not_p05,9
total_firearm_rate_per_100k,Total Firearm Deaths,placebo_never_treated,-0.22921127044830983,0.542306918643052,0.6725435747814484,546.0,0.9337326173889493,not_p05,10
