State,State Code,Year,cancer_deaths,cancer_population,cancer_rate_per_100k,cardiovascular_deaths,cardiovascular_population,cardiovascular_rate_per_100k,motor_vehicle_deaths,motor_vehicle_population,motor_vehicle_rate_per_100k
North Carolina,37,2020,19996,10600823,188.62686415950913,28284,10600823,266.8094731890156,1771,10600823,16.7062500713388
North Carolina,37,2021,20229,10551162,191.72295904470047,29170,10551162,276.4624408193145,1923,10551162,18.225480757474863
North Carolina,37,2022,20409,10698973,190.7566268276404,30312,10698973,283.31691275414937,1854,10698973,17.32876604137612
North Carolina,37,2023,20919,10835491,193.06000992479252,29617,10835491,273.33325273400163,1803,10835491,16.639762794320994
North Carolina,37,2024,21236,11046024,192.25017074016858,29668,11046024,268.585329888836,1801,11046024,16.304509206208497
North Dakota,38,1999,1366,644259,212.02652970311627,2531,644259,392.85442655826307,134,644259,20.799088565313017
North Dakota,38,2000,1346,642200,209.59202740579258,2345,642200,365.1510432886951,105,642200,16.350046714419182
North Dakota,38,2001,1391,639062,217.66276198553507,2413,639062,377.5846474989907,115,639062,17.995124103764578
North Dakota,38,2002,1293,638168,202.6112246305048,2270,638168,355.70570758797055,111,638168,17.393539005402967
North Dakota,38,2003,1334,638817,208.82349718307435,2308,638817,361.29282721029654,121,638817,18.94126173849475
North Dakota,38,2004,1265,644705,196.21377219038163,2107,644705,326.81614071552104,117,644705,18.1478350563436
North Dakota,38,2005,1302,646089,201.52022399390796,2057,646089,318.37718952032924,130,646089,20.121066911834127
North Dakota,38,2006,1387,649422,213.57453243037654,2096,649422,322.7485363908214,114,649422,17.554071158661085
North Dakota,38,2007,1264,652822,193.62092576536944,1898,652822,290.73775087236646,115,652822,17.615827897956873
North Dakota,38,2008,1354,657569,205.9099501345106,1855,657569,282.09967319018995,121,657569,18.401110757958477
North Dakota,38,2009,1243,664968,186.92628818228846,1896,664968,285.1265023279316,131,664968,19.70019609966194
North Dakota,38,2010,1269,672591,188.67335423756785,1916,672591,284.86851593316,97,672591,14.421840316031586
North Dakota,38,2011,1321,683932,193.14785680447764,1761,683932,257.4817379505565,139,683932,20.323657907511272
North Dakota,38,2012,1253,699628,179.0951762936875,1882,699628,269.00009719450907,134,699628,19.153035613211593
North Dakota,38,2013,1286,723393,177.77335417954004,1861,723393,257.2598850140933,124,723393,17.141443171277576
North Dakota,38,2014,1304,739482,176.33965397399803,1882,739482,254.50247605756462,103,739482,13.928668987209965
North Dakota,38,2015,1320,756927,174.3893400552497,1804,756927,238.33209807550796,137,756927,18.09949968755243
North Dakota,38,2016,1253,757952,165.31389850544628,1818,757952,239.85687748036815,126,757952,16.623743983787893
North Dakota,38,2017,1280,755393,169.44822099225172,1862,755393,246.49420897466618,118,755393,15.621007872723206
North Dakota,38,2018,1320,760077,173.66661535607577,1877,760077,246.94866441163197,106,760077,13.94595547556366
North Dakota,38,2019,1316,762062,172.68936123307552,1951,762062,256.01591471560056,102,762062,13.384737724752055
North Dakota,38,2020,1308,765309,170.91135737329628,1904,765309,248.7883978889573,104,765309,13.589282237632121
North Dakota,38,2021,1278,774948,164.9142910233977,1862,774948,240.27418613894093,119,774948,15.355869038954872
North Dakota,38,2022,1214,779261,155.78862537712013,2008,779261,257.6800327489763,108,779261,13.859284629925018
North Dakota,38,2023,1348,783926,171.95500595719494,1988,783926,253.5953648686228,114,783926,14.542188931098089
North Dakota,38,2024,1312,796568,164.70659127657652,2116,796568,265.63959385764934,106,796568,13.30708740496731
Ohio,39,1999,25233,11335454,222.60246479761642,43352,11335454,382.44608464733744,1427,11335454,12.588820880045915
Ohio,39,2000,24988,11353140,220.09769984339135,42862,11353140,377.53432090153035,1456,11353140,12.824645868896184
Ohio,39,2001,24804,11387404,217.81961894036607,42220,11387404,370.7605350613713,1470,11387404,12.909000154908002
Ohio,39,2002,25173,11407889,220.66308674637347,41566,11407889,364.3618902673404,1602,11407889,14.042913636344112
Ohio,39,2003,25076,11434788,219.2957140963173,40589,11434788,354.9606691440191,1348,11434788,11.78858759777619
Ohio,39,2004,24940,11452251,217.77378089250752,38693,11452251,337.863709064707,1383,11452251,12.076228507391255
Ohio,39,2005,24702,11463320,215.4873108314171,38387,11463320,334.868083591839,1404,11463320,12.24776068364139
Ohio,39,2006,24975,11481213,217.5292802250076,36528,11481213,318.1545364588219,1367,11481213,11.90640745015357
Ohio,39,2007,25230,11500468,219.38237643894144,35497,11500468,308.6570042193066,1399,11500468,12.164722339995206
Ohio,39,2008,24998,11515391,217.0833799738107,35956,11515391,312.24297985192163,1301,11515391,11.297922927671323
Ohio,39,2009,25149,11528896,218.13884000688358,33728,11528896,292.5518627282265,1021,11528896,8.856008415723414
Ohio,39,2010,25083,11536504,217.42288651744065,34541,11536504,299.40612858106755,1251,11536504,10.843839693550143
Ohio,39,2011,25140,11544951,217.75752881064633,34698,11544951,300.5469663751713,1171,11544951,10.14296206194379
Ohio,39,2012,25261,11544225,218.81936639315327,34834,11544225,301.74394556585656,1250,11544225,10.827924784903274
Ohio,39,2013,24986,11570808,215.93997584265506,35253,11570808,304.6718949964428,1135,11570808,9.809168037357459
Ohio,39,2014,25433,11594163,219.36037987390725,35501,11594163,306.1971787010412,1130,11594163,9.74628353939823
Ohio,39,2015,25396,11613423,218.67799011540353,36704,11613423,316.04807643706766,1257,11613423,10.823682216690118
Ohio,39,2016,25509,11614373,219.63303572220386,36121,11614373,311.0025827481174,1324,11614373,11.399668324755886
Ohio,39,2017,25643,11658609,219.94905224113785,37170,11658609,318.8201954452714,1322,11658609,11.339260112419929
Ohio,39,2018,25164,11689442,215.27118231990886,38453,11689442,328.9549663705077,1220,11689442,10.436768495878589
Ohio,39,2019,25170,11689100,215.32881060132942,38263,11689100,327.3391450154417,1282,11689100,10.967482526456271
Ohio,39,2020,24863,11693217,212.6275429593071,40459,11693217,346.00401241164,1372,11693217,11.733298030815643
Ohio,39,2021,25077,11780017,212.87745170486593,40703,11780017,345.52581715289546,1508,11780017,12.801339760375559
Ohio,39,2022,24616,11756058,209.38991624573478,40174,11756058,341.73019561489065,1395,11756058,11.866222504176145
Ohio,39,2023,24821,11785935,210.59848030724757,38051,11785935,322.8509235796736,1401,11785935,11.887050115243296
Ohio,39,2024,25088,11883304,211.1197357233308,39125,11883304,329.2434494648963,1306,11883304,10.99020945689852
Oklahoma,40,1999,7312,3437147,212.73457317944212,14789,3437147,430.26963932587114,686,3437147,19.958413183957507
Oklahoma,40,2000,7402,3450654,214.51006099133673,14845,3450654,430.2083025420688,679,3450654,19.6774292641337
Oklahoma,40,2001,7411,3467100,213.7521271379539,14235,3467100,410.5736782902137,728,3467100,20.99737532808399
Oklahoma,40,2002,7474,3489080,214.21119607460994,14581,3489080,417.90386004333516,766,3489080,21.954211425361414
Oklahoma,40,2003,7338,3504892,209.36451108907207,14496,3504892,413.5933432470958,721,3504892,20.571247273810435
Oklahoma,40,2004,7269,3525233,206.19913634077523,13385,3525233,379.691214736728,765,3525233,21.7006932591406
Oklahoma,40,2005,7446,3548597,209.82940581869397,13235,3548597,372.9643011026611,833,3548597,23.474065947753438
Oklahoma,40,2006,7491,3594090,208.42549852674807,12579,3594090,349.991235611796,787,3594090,21.897058782612568
Oklahoma,40,2007,7727,3634349,212.61029141670215,12423,3634349,341.82187786588463,743,3634349,20.44382639091623
Oklahoma,40,2008,7657,3668976,208.695832297622,12565,3668976,342.46612678850994,766,3668976,20.877759898129614
Oklahoma,40,2009,7639,3717572,205.48357906719764,11892,3717572,319.8862052974361,736,3717572,19.79786807088067
Oklahoma,40,2010,7831,3751351,208.75146047383996,12110,3751351,322.8170331168691,716,3751351,19.08645711904858
Oklahoma,40,2011,7997,3791508,210.91871624693923,12015,3791508,316.89238160647426,745,3791508,19.649173890705228
Oklahoma,40,2012,8040,3814820,210.7569950875795,11828,3814820,310.05394749948886,725,3814820,19.00482853712626
Oklahoma,40,2013,8039,3850568,208.77439380371933,12336,3850568,320.3683196868618,727,3850568,18.880331421234477
Oklahoma,40,2014,7934,3878051,204.58730429280067,12461,3878051,321.3211997469863,730,3878051,18.823888597648665
Oklahoma,40,2015,8280,3911338,211.69226489758745,13065,3911338,334.0289179815194,673,3911338,17.206388197593764
Oklahoma,40,2016,8115,3923561,206.82742029498203,12897,3923561,328.7064990196406,720,3923561,18.350676846874563
Oklahoma,40,2017,8203,3930864,208.68185722019385,13505,3930864,343.5631454051832,723,3930864,18.39290293431673
Oklahoma,40,2018,8424,3943079,213.64015278415673,13281,3943079,336.81800440721577,707,3943079,17.930150524501286
Oklahoma,40,2019,8309,3956971,209.9838487570417,13502,3956971,341.2205952482341,690,3956971,17.437580411885758
Oklahoma,40,2020,8368,3980783,210.20990091647798,14431,3980783,362.5166204739118,717,3980783,18.01153190214086
Oklahoma,40,2021,8368,3986639,209.90112222350706,14868,3986639,372.94573198125033,827,3986639,20.744291118408263
Oklahoma,40,2022,8378,4019800,208.41832927011293,14924,4019800,371.262251853326,777,4019800,19.329319866660033
Oklahoma,40,2023,8285,4053824,204.3749309294138,14377,4053824,354.65279203043843,744,4053824,18.35304147392684
Oklahoma,40,2024,8677,4095393,211.87221836829823,15117,4095393,369.1220842541851,755,4095393,18.435349183826805
Oregon,41,1999,6905,3393941,203.45079658131948,10898,3393941,321.10163376440545,433,3393941,12.758029677003815
Oregon,41,2000,6951,3421399,203.16250750058674,10550,3421399,308.3533957892663,478,3421399,13.970893193106093
Oregon,41,2001,7057,3467937,203.49273934330412,10570,3467937,304.79215741231747,506,3467937,14.590807157108102
Oregon,41,2002,7249,3513424,206.32294878158743,10914,3513424,310.6371448478749,462,3513424,13.149565779706633
Oregon,41,2003,7232,3547376,203.86900063596303,10522,3547376,296.6136096089053,543,3547376,15.30708895814822
Oregon,41,2004,7236,3569463,202.71956874185278,9985,3569463,279.73395437913206,501,3569463,14.035724701446687
Oregon,41,2005,7326,3613202,202.75644705167326,10088,3613202,279.1983398658586,512,3613202,14.170256741804083
Oregon,41,2006,7309,3670883,199.10740821758688,9437,3670883,257.0771119646145,510,3670883,13.893115089748163
Oregon,41,2007,7393,3722417,198.60751764243503,9287,3722417,249.48843721700177,490,3722417,13.163490280642927
Oregon,41,2008,7479,3768748,198.44786650633048,9237,3768748,245.09465743000064,443,3768748,11.754566768592648
Oregon,41,2009,7487,3808600,196.58142099459118,8978,3808600,235.72966444362757,391,3808600,10.26623956309405
Oregon,41,2010,7638,3831074,199.3696806691805,8818,3831074,230.17044306635685,324,3831074,8.45715848871622
Oregon,41,2011,7802,3871859,201.5052717570552,9059,3871859,233.97029695554514,369,3871859,9.530305726525683
Oregon,41,2012,7832,3899353,200.85383395655637,8816,3899353,226.08878960176213,369,3899353,9.463108366952158
Oregon,41,2013,7799,3930065,198.44455498827625,9223,3930065,234.67805239862446,361,3930065,9.185598711471693
Oregon,41,2014,7863,3970239,198.04853057964522,9211,3970239,232.00114653047333,378,3970239,9.520837410543798
Oregon,41,2015,8093,4028977,200.86984859928464,9684,4028977,240.35878090145462,501,4028977,12.434918342795205
Oregon,41,2016,8078,4093465,197.33892924453977,9826,4093465,240.04113874187271,525,4093465,12.82532035818066
