State,Year,share_age_under18,share_age_18_34,share_age_35_64,share_age_65plus,share_white_nonhispanic,share_black_nonhispanic,share_asian_nonhispanic,share_hispanic,poverty_rate,mental_health_provider_count,mental_health_access_population,mental_health_provider_rate_per_100k,phase3b2_demographic_poverty_complete,phase3b2_full_complete
Kentucky,2008,0.23860939635113165,0.2249194033023783,0.4057770407456809,0.13069415960080916,0.8701492210267985,0.07602430651874016,0.010677459825197827,0.027590994429212205,17.3,,,,True,False
Kentucky,2009,0.23750540296506384,0.22508430478606575,0.40525179786123655,0.13215849438763386,0.8665830143286866,0.0767109852645565,0.011032240818665606,0.029354141254006764,18.4,,,,True,False
Kentucky,2010,0.2353933748388119,0.2261069628886194,0.40501947825998963,0.13348018401257905,0.8635215507358134,0.07734360644140618,0.011404769028704187,0.030858191045864927,18.9,,,,True,False
Kentucky,2011,0.23383063059104708,0.22650927806882706,0.4045751530783526,0.1350849382617732,0.8611865337275829,0.0779773359137594,0.011850142145410534,0.03159053883442823,19.1,,,,True,False
Kentucky,2012,0.23219166933023525,0.22663374024757738,0.4010830426965862,0.14009154772560123,0.8586454420148342,0.07854168367018927,0.012423780522557956,0.03253414117354171,19.3,,,,True,False
Kentucky,2013,0.23090822694787497,0.22688021933139432,0.39828735890792,0.1439241948128107,0.8556778175109583,0.07928627392041018,0.013057991549402575,0.033512015345569315,18.8,,,,True,False
Kentucky,2014,0.22984159159142153,0.22599413866008328,0.39588827254029985,0.14827599720819537,0.8538849103231303,0.07968490937168765,0.013452946289475525,0.03400478756890314,19.0,,,,True,False
Kentucky,2015,0.22880196367987535,0.22493163089903787,0.3943161915021681,0.15195021391891866,0.8515931853222882,0.08009465030989775,0.014191898013003234,0.034694720441321866,18.3,,,,True,False
Kentucky,2016,0.22795189561852128,0.22444437835131592,0.39183161033053626,0.15577211569962657,0.8488813662891698,0.08062963618887194,0.014801556132668738,0.03567001082875826,18.2,,,,True,False
Kentucky,2017,0.2269450087011833,0.22463719614362837,0.3889372787082898,0.15948051644689853,0.84592639077432,0.08133090820229151,0.015266151992647343,0.036945439942069974,17.1,,,,True,False
Kentucky,2018,0.22577190246557335,0.22419159351853657,0.38653863698465396,0.1634978670312361,0.8436827878353421,0.08175039053805148,0.015391536672245942,0.038183626519870534,16.7,,,,True,False
Kentucky,2019,0.22447278482556804,0.2241287578567187,0.38339959079368613,0.16799886652402715,0.841481236428897,0.08234689512862736,0.015619540642298575,0.03910447340259683,16.0,,,,True,False
Kentucky,2020,0.22767027525564967,0.2210718054937562,0.38416722156689037,0.16709069768370377,0.8329004298277096,0.08251303479479487,0.016217356450898095,0.04618463027674623,14.9,,,,True,False
Kentucky,2021,0.22682799185283997,0.22113048167942775,0.38164754814276297,0.17039397832496928,0.8301593115423499,0.08300390697187383,0.016612894316089134,0.047372616322317304,16.3,15187.0,4494141.0,337.928872,True,True
Kentucky,2022,0.22595183740249727,0.22183255432946256,0.3785396769761594,0.17367593129188072,0.8257584860085772,0.08395849472687068,0.01739719992308429,0.04925393313422875,16.3,15424.0,4502935.0,342.532148,True,True
Kentucky,2023,0.22499167691257957,0.22284272715985493,0.37512567037936795,0.17703992554819753,0.819442512462656,0.08488736088357676,0.018561309015634218,0.0527146450079605,16.1,15419.0,4510725.0,341.82975,True,True
Kentucky,2024,0.2235372371725745,0.22381990823760584,0.3724711073993129,0.1801717471905068,0.8125869044619748,0.08573956078539403,0.020018647136718644,0.0564956372325522,15.4,,,,True,False
Louisiana,2005,0.2577464893366907,0.24029967041236472,0.38506843903415355,0.11688540121679106,0.6120558629628626,0.32577063287643215,0.014127650313724427,0.03251323900478693,20.2,,,,True,False
Louisiana,2006,0.2507170788336996,0.23705108345641598,0.3923619431212981,0.11986989458858638,0.6246663405122175,0.31149531743698383,0.014009921757794298,0.033802306245082986,19.4,,,,True,False
Louisiana,2007,0.25095090229160427,0.2379151477255249,0.3911507980311643,0.11998315195170653,0.6175173079872136,0.3152628188119475,0.014273075964083398,0.03630397883161116,18.8,,,,True,False
Louisiana,2008,0.25086047255086474,0.23850733589654222,0.38937132545733527,0.12126086609525777,0.6116380113022271,0.31785405581134035,0.014665705951817865,0.03852162938560993,17.6,,,,True,False
Louisiana,2009,0.24920038257672905,0.24080172800718136,0.3877394221452794,0.12225846727081018,0.6072866796329544,0.3187918999886011,0.01514900544299108,0.040843806104129264,17.6,,,,True,False
Louisiana,2010,0.24597274262784374,0.24372146570868022,0.3869093671251517,0.12339642453832429,0.6039636204564078,0.31935675664732915,0.01553647328261744,0.04270758793204669,18.8,,,,True,False
Louisiana,2011,0.2439354186586532,0.2449007512634886,0.38619423576014206,0.12496959431771616,0.60112203250922,0.31981554432454584,0.015985575741018988,0.044163147111050405,20.5,,,,True,False
Louisiana,2012,0.2420975393895029,0.2453861923089295,0.3829560362462541,0.12956023205531353,0.5989797373250696,0.32021385915845607,0.016193534757438212,0.04523022526544391,20.1,,,,True,False
Louisiana,2013,0.2405500065195857,0.245484348993962,0.38101561521859423,0.1329500292678581,0.5963027137694298,0.3207458838493104,0.0164161653721559,0.046766728791939154,20.0,,,,True,False
Louisiana,2014,0.23982620203690214,0.24431520755863517,0.37925389097748,0.13660469942698267,0.5942041936575113,0.32094677598878385,0.016541943358039695,0.04797833253266087,19.9,,,,True,False
Louisiana,2015,0.23902634893929375,0.24234043958060536,0.37820143428371994,0.14043177719638095,0.5921638338577052,0.3209244124075918,0.016884304600495472,0.049209283141120795,19.5,,,,True,False
Louisiana,2016,0.2381549484997761,0.23983061626053973,0.3772398616115183,0.14477457362816593,0.5900075564300731,0.321217750235938,0.017194886423756477,0.05036708004364987,20.1,,,,True,False
Louisiana,2017,0.23708762974889522,0.23678937857558838,0.3767835120413826,0.1493394796341338,0.5879222191771436,0.32196417560206914,0.01729706930218218,0.051152110239457364,19.6,,,,True,False
Louisiana,2018,0.23537059332273177,0.234214293225515,0.3762273885172619,0.15418772493449134,0.5860016438861813,0.32242380930920295,0.01744300586519704,0.05210604138901944,18.7,,,,True,False
Louisiana,2019,0.2339596032863577,0.23173106831578255,0.3749084171077488,0.15940091129011094,0.5840830976808179,0.32287750328364734,0.01756584610976524,0.05312603655915921,18.8,,,,True,False
Louisiana,2020,0.23739113182917443,0.2278981948932367,0.37616697629839513,0.15854369697919374,0.5716205808695525,0.31903524728945953,0.017965088673325306,0.06908989766569273,17.8,,,,True,False
Louisiana,2021,0.23603389044572665,0.226022159602988,0.37492110473466667,0.1630228452166187,0.5699938482760588,0.3193583105857837,0.018068825409666568,0.06978155221802383,19.5,16386.0,4657305.0,351.834376,True,True
Louisiana,2022,0.23493916760110126,0.22370875508061389,0.3733674061815705,0.16798467113671436,0.5679272444988089,0.31850015031498663,0.018535873253880814,0.0717859096625434,18.6,15718.0,4640546.0,338.710143,True,True
Louisiana,2023,0.23364132769523402,0.22265479326714865,0.37082294498058116,0.17288093405703617,0.5647606586733291,0.31805981206480893,0.019047656411594328,0.07449034681459812,18.9,15504.0,4621025.0,335.509979,True,True
Louisiana,2024,0.23193873511768826,0.22246473267300892,0.3684384066954634,0.17715812551383942,0.5605732381561376,0.3179214135640554,0.019645303997181222,0.07788217689560523,18.6,,,,True,False
Maine,2005,0.22075331346153698,0.19962996298871616,0.43449852023109115,0.14511820331865571,0.9542079198536231,0.008980980249274522,0.009030267965941429,0.010848605574668237,12.3,,,,True,False
