State,State Code,Year,population,firearm_suicide_deaths,firearm_suicide_rate_per_100k,total_suicide_deaths,total_suicide_rate_per_100k,nonfirearm_suicide_deaths,nonfirearm_suicide_rate_per_100k,unemployment_rate,income_pc,gun_ownership,mean_rucc_2013,share_nonmetro_counties_2013,rep_vote_share_2party,permitless_year,ever_adopter,post_permitless,years_since_permitless
Indiana,18,2022,6833037,692,10.127268445934073,1155,16.903172044875507,463,6.775903598941435,3.0666666666666664,58671.0,0.424,3.978260869565217,0.5217391304347826,0.5819504800744296,2022.0,1,1,0.0
Indiana,18,2023,6862199,757,11.031449248265751,1195,17.414242868794684,438,6.382793620528933,3.45,61386.0,0.424,3.978260869565217,0.5217391304347826,0.5819504800744296,2022.0,1,1,1.0
Indiana,18,2024,6924275,768,11.091413902538532,1186,17.1281469901181,418,6.036733087579568,4.183333333333334,64077.0,0.424,3.978260869565217,0.5217391304347826,0.5819504800744296,2022.0,1,1,2.0
Iowa,19,1999,2917634,160,5.483895512596851,306,10.487950167841475,146,5.004054655244627,2.6833333333333336,25705.0,0.397,5.888888888888889,0.7878787878787878,0.4983722081248183,2021.0,1,0,-22.0
Iowa,19,2000,2926324,157,5.365092860530823,290,9.910044137286237,133,4.544951276755412,2.6750000000000003,27341.0,0.477,5.888888888888889,0.7878787878787878,0.4983722081248183,2021.0,1,0,-21.0
Iowa,19,2001,2931997,157,5.35471216375733,304,10.368359858485531,147,5.013647694728202,3.333333333333333,28145.0,0.398,5.888888888888889,0.7878787878787878,0.4983722081248183,2021.0,1,0,-20.0
Iowa,19,2002,2934234,157,5.350629840701185,316,10.76942057109283,159,5.418790730391645,4.0,28804.0,0.417,5.888888888888889,0.7878787878787878,0.4983722081248183,2021.0,1,0,-19.0
Iowa,19,2003,2941999,178,6.050307970872866,352,11.964653964872184,174,5.914345993999318,4.458333333333333,29344.0,0.389,5.888888888888889,0.7878787878787878,0.4983722081248183,2021.0,1,0,-18.0
Iowa,19,2004,2953635,155,5.24777096696105,343,11.61280930108155,188,6.3650383341205,4.508333333333334,31615.0,0.423,5.888888888888889,0.7878787878787878,0.5033667926271291,2021.0,1,0,-17.0
Iowa,19,2005,2964454,170,5.734614198769824,334,11.266830249347771,164,5.532216050577947,4.283333333333333,32411.0,0.359,5.888888888888889,0.7878787878787878,0.5033667926271291,2021.0,1,0,-16.0
Iowa,19,2006,2982644,149,4.995567690948031,334,11.19811817970901,185,6.202550488760979,3.691666666666667,34197.0,0.375,5.888888888888889,0.7878787878787878,0.5033667926271291,2021.0,1,0,-15.0
Iowa,19,2007,2999212,133,4.434498128175,323,10.769495454139289,190,6.334997325964287,3.716666666666667,36366.0,0.388,5.888888888888889,0.7878787878787878,0.5033667926271291,2021.0,1,0,-14.0
Iowa,19,2008,3016734,180,5.966717648954134,380,12.596403925569838,200,6.629686276615704,4.158333333333333,38490.0,0.396,5.888888888888889,0.7878787878787878,0.4515122221053265,2021.0,1,0,-13.0
Iowa,19,2009,3032870,160,5.2755310976072165,361,11.902917038976284,201,6.6273859413690674,6.466666666666666,37246.0,0.387,5.888888888888889,0.7878787878787878,0.4515122221053265,2021.0,1,0,-12.0
Iowa,19,2010,3046355,177,5.810222380517044,373,12.244140948773207,196,6.433918568256163,6.091666666666666,38190.0,0.411,5.888888888888889,0.7878787878787878,0.4515122221053265,2021.0,1,0,-11.0
Iowa,19,2011,3062309,185,6.041193099716586,424,13.845761482593687,239,7.804568382877103,5.583333333333333,40879.0,0.376,5.888888888888889,0.7878787878787878,0.4515122221053265,2021.0,1,0,-10.0
Iowa,19,2012,3074186,175,5.692563820146211,386,12.556169340436783,211,6.863605520290574,5.008333333333334,42539.0,0.409,5.888888888888889,0.7878787878787878,0.4704064807189982,2021.0,1,0,-9.0
Iowa,19,2013,3090416,221,7.151140817288029,450,14.561146460541236,229,7.410005643253207,4.7250000000000005,43009.0,0.401,5.888888888888889,0.7878787878787878,0.4704064807189982,2021.0,1,0,-8.0
Iowa,19,2014,3107126,194,6.243712034851499,408,13.131105722780472,214,6.887393687928973,4.258333333333334,44120.0,0.331,5.888888888888889,0.7878787878787878,0.4704064807189982,2021.0,1,0,-7.0
Iowa,19,2015,3123899,193,6.178176695213258,434,13.892894744676443,241,7.714718049463187,3.716666666666667,45442.0,0.36,5.888888888888889,0.7878787878787878,0.4704064807189982,2021.0,1,0,-6.0
Iowa,19,2016,3134693,228,7.273439536184245,453,14.451175920576594,225,7.1777363843923485,3.6,45669.0,0.385,5.888888888888889,0.7878787878787878,0.5506354784512034,2021.0,1,0,-5.0
Iowa,19,2017,3145711,222,7.057228079756849,480,15.258871523798597,258,8.201643444041746,3.091666666666667,46767.0,0.385,5.888888888888889,0.7878787878787878,0.5506354784512034,2021.0,1,0,-4.0
Iowa,19,2018,3156145,231,7.319055366594373,490,15.525268959442611,259,8.206213592848238,2.583333333333333,48773.0,0.385,5.888888888888889,0.7878787878787878,0.5506354784512034,2021.0,1,0,-3.0
Iowa,19,2019,3155070,233,7.384939161413217,530,16.798359465875556,297,9.413420304462338,2.6583333333333337,49674.0,0.385,5.888888888888889,0.7878787878787878,0.5506354784512034,2021.0,1,0,-2.0
Iowa,19,2020,3163561,260,8.218586586444832,552,17.44869152199057,292,9.230104935545736,5.216666666666667,52676.0,0.385,5.888888888888889,0.7878787878787878,0.5418326308463706,2021.0,1,0,-1.0
Iowa,19,2021,3193079,293,9.176096175509596,549,17.193436178685214,256,8.017340003175619,3.85,58250.0,0.385,5.888888888888889,0.7878787878787878,0.5418326308463706,2021.0,1,1,0.0
Iowa,19,2022,3200517,288,8.998546172384025,591,18.465766624579715,303,9.46722045219569,2.825,61209.0,0.385,5.888888888888889,0.7878787878787878,0.5418326308463706,2021.0,1,1,1.0
Iowa,19,2023,3207004,266,8.294345750738072,506,15.777965976967913,240,7.483620226229839,2.9333333333333336,62688.0,0.385,5.888888888888889,0.7878787878787878,0.5418326308463706,2021.0,1,1,2.0
Iowa,19,2024,3241488,318,9.810309339414491,552,17.029216211813832,234,7.218906872399341,3.033333333333333,65225.0,0.385,5.888888888888889,0.7878787878787878,0.5418326308463706,2021.0,1,1,3.0
Kansas,20,1999,2678338,166,6.197873457345564,299,11.1636395406405,133,4.9657660832949375,3.466666666666667,26871.0,0.433,6.523809523809524,0.819047619047619,0.6091690746352808,2015.0,1,0,-16.0
Kansas,20,2000,2688418,186,6.918566978795708,326,12.126090511222586,140,5.207523532426878,3.7416666666666663,28166.0,0.469,6.523809523809524,0.819047619047619,0.6091690746352808,2015.0,1,0,-15.0
Kansas,20,2001,2702162,160,5.921184592189514,294,10.88017668814823,134,4.958992095958717,4.3,29047.0,0.417,6.523809523809524,0.819047619047619,0.6091690746352808,2015.0,1,0,-14.0
Kansas,20,2002,2713535,184,6.780822801253716,346,12.750895050183615,162,5.970072248929901,5.091666666666666,29218.0,0.418,6.523809523809524,0.819047619047619,0.6091690746352808,2015.0,1,0,-13.0
