State,State Code,Year,falls_deaths,falls_population,falls_rate_per_100k,non_transport_injury_excluding_falls_poisoning_deaths,non_transport_injury_excluding_falls_poisoning_population,non_transport_injury_excluding_falls_poisoning_rate_per_100k,accidental_poisoning_deaths,accidental_poisoning_population,accidental_poisoning_rate_per_100k
Idaho,16,2001,111,1319962,8.409332995949883,118,1319962,8.939651292991767,64.0,1319962.0,4.84862443009723
Idaho,16,2002,113,1340372,8.430495414705769,101,1340372,7.535221565356483,80.0,1340372.0,5.968492328995234
Idaho,16,2003,125,1363380,9.168390324047587,107,1363380,7.848142117384735,64.0,1363380.0,4.694215845912365
Idaho,16,2004,115,1391802,8.262669546386627,127,1391802,9.12486115122697,73.0,1391802.0,5.244998929445424
Idaho,16,2005,102,1428241,7.141651864076161,127,1428241,8.892056732722278,67.0,1428241.0,4.691085047971596
Idaho,16,2006,138,1468669,9.396262874752582,128,1468669,8.715374260640077,94.0,1468669.0,6.400352972657555
Idaho,16,2007,135,1505105,8.969473890525911,108,1505105,7.175579112420728,99.0,1505105.0,6.5776141863856665
Idaho,16,2008,138,1534320,8.994212419834193,126,1534320,8.212106992022525,109.0,1534320.0,7.10412430262266
Idaho,16,2009,146,1554439,9.392456056493694,133,1554439,8.556141476120967,120.0,1554439.0,7.719826895748241
Idaho,16,2010,151,1567582,9.632669933694059,132,1567582,8.420612127467654,130.0,1567582.0,8.293027095233295
Idaho,16,2011,200,1584985,12.618415947154073,135,1584985,8.517430764329,125.0,1584985.0,7.886509966971296
Idaho,16,2012,201,1595728,12.596131671563073,117,1595728,7.332076644641192,129.0,1595728.0,8.084084505630031
Idaho,16,2013,192,1612136,11.909665189537359,148,1612136,9.180366916935048,155.0,1612136.0,9.614573460303598
Idaho,16,2014,233,1634464,14.255437868316463,134,1634464,8.198406327701314,165.0,1634464.0,10.095052567691916
Idaho,16,2015,173,1654930,10.453614352268675,143,1654930,8.64084885765561,169.0,1654930.0,10.211912286320267
Idaho,16,2016,236,1683140,14.021412360231471,131,1683140,7.783072115213232,189.0,1683140.0,11.22901244103283
Idaho,16,2017,236,1716943,13.745360212890002,154,1716943,8.969429969428223,199.0,1716943.0,11.590367298157249
Idaho,16,2018,231,1754208,13.168335795983143,151,1754208,8.607873182655648,213.0,1754208.0,12.142231707984458
Idaho,16,2019,269,1787065,15.05261420261714,142,1787065,7.945989653426149,243.0,1787065.0,13.597714688609534
Idaho,16,2020,291,1826913,15.92850891093336,162,1826913,8.867417331859809,257.0,1826913.0,14.067446014123279
Idaho,16,2021,319,1900923,16.781321494873808,178,1900923,9.363872182092594,327.0,1900923.0,17.202169682833024
Idaho,16,2022,366,1939033,18.875387886642464,138,1939033,7.1169495310291255,346.0,1939033.0,17.843945925623753
Idaho,16,2023,375,1964726,19.086630909348173,157,1964726,7.990936140713769,353.0,1964726.0,17.966881895999748
